timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1772026961,normal,k3s-wk1,0.6000889185283982,0.49787935692469254,592.4308102700901,294.4648216072024,0,0,0,0,0,{}
1772026961,normal,sw-wk2,0.17222296306174212,0.42771177809252514,0.0,0.0,0,0,0,0,0,{}
1772026961,normal,sw-wk3,0.12457912457912501,0.3061353183633846,0.0,0.0,0,0,0,0,0,{}
1772026968,normal,k3s-wk1,0.67960895406321,0.49998223476170234,8.131978003666056,8.598566905515748,0,0,0,0,0,{}
1772026968,normal,sw-wk2,0.17222296306174212,0.42771177809252514,0.0,0.0,0,0,0,0,0,{}
1772026968,normal,sw-wk3,0.12457912457912501,0.3061353183633846,0.0,0.0,0,0,0,0,0,{}
1772026978,normal,k3s-wk1,0.67960895406321,0.49998223476170234,8.131978003666056,8.598566905515748,0,0,0,0,0,{}
1772026978,normal,sw-wk2,0.14441889144418862,0.42774758502156374,0.0,0.0,0,0,0,0,0,{}
1772026978,normal,sw-wk3,0.12457912457912501,0.3061353183633846,0.0,0.0,0,0,0,0,0,{}
1772026988,normal,k3s-wk1,0.67960895406321,0.49998223476170234,8.131978003666056,8.598566905515748,0,0,0,4,0,"{""process_kprobe"": 4}"
1772026988,normal,sw-wk2,0.1444188914441884,0.42774758502156374,0.0,0.0,0,0,0,0,0,{}
1772026988,normal,sw-wk3,0.16774989167749987,0.3090336903416777,5.132820051328201,4.999500049995,0,0,0,0,0,{}
1772026998,normal,k3s-wk1,0.6351360340584065,0.500182258185498,0.0,0.0,0,0,0,0,0,{}
1772026998,normal,sw-wk2,0.1444188914441884,0.42774758502156374,0.0,0.0,0,0,0,0,0,{}
1772026998,normal,sw-wk3,0.16774989167749987,0.3090336903416777,5.132820051328201,4.999500049995,0,0,0,0,0,{}
1772027008,normal,k3s-wk1,0.6351360340584065,0.500182258185498,0.0,0.0,0,0,0,0,0,{}
1772027008,normal,sw-wk2,0.2241149409960671,0.42793855530976976,0.0,0.0,0,0,0,0,0,{}
1772027008,normal,sw-wk3,0.16774989167749987,0.3090336903416777,5.132820051328201,4.999500049995,0,0,0,0,0,{}
