2026-02-28 22:03:50 [byzantine-cluster-worker2] Loss=0.1161 | Trust= 35.0 | ⚠️  ANOMALY
2026-02-28 22:03:50 [byzantine-cluster-worker3] Loss=0.1169 | Trust= 35.0 | ⚠️  ANOMALY
2026-02-28 22:03:50 [byzantine-cluster-worker4] Loss=0.1682 | Trust= 35.0 | ⚠️  ANOMALY
2026-02-28 22:03:50 [byzantine-cluster-worker5] Loss=0.1151 | Trust= 35.0 | ⚠️  ANOMALY
2026-02-28 22:35:14 [byzantine-cluster-worker] Loss=0.0258 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:35:14 [byzantine-cluster-worker2] Loss=0.0273 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:35:14 [byzantine-cluster-worker3] Loss=0.0262 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:35:14 [byzantine-cluster-worker4] Loss=0.0205 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:35:14 [byzantine-cluster-worker5] Loss=0.0294 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:35:24 [byzantine-cluster-worker] Loss=0.0263 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:35:24 [byzantine-cluster-worker2] Loss=0.0283 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:35:24 [byzantine-cluster-worker3] Loss=0.0270 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:35:24 [byzantine-cluster-worker4] Loss=0.0201 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:35:24 [byzantine-cluster-worker5] Loss=0.0299 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:35:34 [byzantine-cluster-worker] Loss=0.0264 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:35:34 [byzantine-cluster-worker2] Loss=0.0289 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:35:34 [byzantine-cluster-worker3] Loss=0.0274 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:35:34 [byzantine-cluster-worker4] Loss=0.0198 | Trust= 91.0 | ✅ normal
2026-02-28 22:35:34 [byzantine-cluster-worker5] Loss=0.0300 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:35:44 [byzantine-cluster-worker] Loss=0.0265 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:35:44 [byzantine-cluster-worker2] Loss=0.0294 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:35:44 [byzantine-cluster-worker3] Loss=0.0279 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:35:45 [byzantine-cluster-worker4] Loss=0.0199 | Trust= 92.0 | ✅ normal
2026-02-28 22:35:45 [byzantine-cluster-worker5] Loss=0.0300 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:35:55 [byzantine-cluster-worker] Loss=0.0266 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:35:55 [byzantine-cluster-worker2] Loss=0.0300 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:35:55 [byzantine-cluster-worker3] Loss=0.0284 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:35:55 [byzantine-cluster-worker4] Loss=0.0199 | Trust= 93.0 | ✅ normal
2026-02-28 22:35:55 [byzantine-cluster-worker5] Loss=0.0301 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:36:05 [byzantine-cluster-worker] Loss=0.0266 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:36:05 [byzantine-cluster-worker2] Loss=0.0301 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:36:05 [byzantine-cluster-worker3] Loss=0.0289 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:36:05 [byzantine-cluster-worker4] Loss=0.0200 | Trust= 88.0 | ⚠️  ANOMALY
2026-02-28 22:36:05 [byzantine-cluster-worker5] Loss=0.0300 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:36:15 [byzantine-cluster-worker] Loss=0.0266 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:36:15 [byzantine-cluster-worker2] Loss=0.0301 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:36:15 [byzantine-cluster-worker3] Loss=0.0293 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:36:15 [byzantine-cluster-worker4] Loss=0.0202 | Trust= 83.0 | ⚠️  ANOMALY
