node,timestamp,cpu,mem,net_out,net_in,latency
kind-worker2,1768910272.6834931,1.5,20.4,1360307,2460017,16.002178192138672
kind-worker2,1768910277.6936219,1.1,20.4,1360896,2461058,4.034280776977539
kind-worker,1768910277.6933753,1.1,20.4,1361610,2461772,2.8629302978515625
kind-worker,1768910282.7037246,1.3,20.4,1362157,2462771,3.271341323852539
kind-worker2,1768910282.7043235,1.3,20.4,1361485,2462099,2.7968883514404297
kind-worker,1768910287.7125423,1.2,20.4,1362704,2463770,3.2541751861572266
kind-worker2,1768910287.7139628,1.2,20.4,1362032,2463098,2.948760986328125
kind-worker,1768910290.5883362,1.5,20.4,1363293,2464811,3.9398670196533203
kind-worker2,1768910290.5944104,1.5,20.4,1362579,2464097,2.7463436126708984
kind-worker,1768910295.5979953,1.4,20.4,1363840,2465810,3.1080245971679688
kind-worker2,1768910295.601626,1.3,20.4,1363126,2465096,2.9685497283935547
kind-worker,1768910300.60845,1.3,20.4,1364387,2466809,3.8061141967773438
kind-worker2,1768910300.6099925,1.3,20.4,1363673,2466095,3.8568973541259766
kind-worker,1768910305.6238735,1.4,20.4,1364934,2467808,13.051748275756836
kind-worker2,1768910305.6245892,1.4,20.4,1364220,2467094,13.17286491394043
kind-worker,1768910310.6319013,1.4,20.4,1365481,2468807,3.9937496185302734
kind-worker2,1768910310.6354587,1.4,20.4,1364809,2468135,3.2241344451904297
kind-worker,1768910315.6433227,1.4,20.4,1366070,2469848,4.131317138671875
kind-worker2,1768910315.6454165,1.4,20.4,1365398,2469176,3.017425537109375
kind-worker,1768910320.6559522,1.4,20.4,1366617,2470847,4.103660583496094
kind-worker2,1768910320.656559,1.4,20.4,1365945,2470175,3.8635730743408203
kind-worker2,1768910323.487786,1.1,20.4,1366492,2471174,3.9565563201904297
kind-worker,1768910323.4875948,1.1,20.4,1367164,2471846,3.9703845977783203
kind-worker,1768910328.4974403,1.4,20.4,1367711,2472845,3.7233829498291016
kind-worker2,1768910328.4970338,1.4,20.4,1367039,2472173,3.122568130493164
kind-worker,1768910333.503283,1.2,20.4,1368300,2473886,4.143714904785156
kind-worker2,1768910333.504142,1.2,20.4,1367628,2473214,3.0875205993652344
kind-worker,1768910338.5271382,1.3,20.4,1368847,2474885,20.533084869384766
kind-worker2,1768910338.527653,1.3,20.4,1368175,2474213,21.128416061401367
kind-worker,1768910343.5382633,1.5,20.4,1369394,2475884,3.6203861236572266
kind-worker2,1768910343.548482,1.5,20.4,1368722,2475212,15.498161315917969
kind-worker,1768910348.5478077,1.7,20.4,1369941,2476883,4.083871841430664
kind-worker2,1768910348.5543048,1.7,20.4,1369311,2476253,2.7747154235839844
kind-worker,1768910351.4071708,1.2,20.4,1370488,2477882,3.6864280700683594
kind-worker2,1768910351.4154882,1.2,20.4,1369858,2477252,3.286123275756836
kind-worker2,1768910356.4204326,1.5,20.4,1370447,2478293,3.5135746002197266
kind-worker,1768910356.4195323,1.5,20.4,1371077,2478923,4.680395126342773
kind-worker2,1768910361.4253747,1.2,20.4,1370994,2479292,3.754138946533203
kind-worker,1768910361.4282935,1.2,20.4,1371624,2479922,3.474712371826172
kind-worker,1768910366.43537,1.4,20.4,1372171,2480921,3.4880638122558594
kind-worker2,1768910366.435378,1.4,20.4,1371541,2480291,3.5767555236816406
kind-worker,1768910371.448346,1.3,20.4,1372718,2481920,4.202842712402344
kind-worker2,1768910371.4497728,1.3,20.4,1372088,2481290,3.883838653564453
kind-worker2,1768910376.475267,1.6,20.4,1372635,2482289,18.824100494384766
kind-worker,1768910376.4759045,1.6,20.4,1373307,2482961,18.99576187133789
kind-worker2,1768910381.483629,1.2,20.4,1373224,2483330,3.874063491821289
kind-worker,1768910381.4857392,1.2,20.4,1373854,2483960,2.982616424560547
kind-worker,1768910384.2581296,1.5,20.4,1374401,2484959,3.7539005279541016
kind-worker2,1768910384.2582796,1.5,20.4,1373813,2484371,3.7157535552978516
kind-worker,1768910389.262422,1.3,20.4,1374948,2485958,3.117084503173828
kind-worker2,1768910389.266057,1.3,20.4,1374360,2485370,2.828836441040039
kind-worker,1768910394.272302,1.6,20.4,1375495,2486957,3.004789352416992
kind-worker2,1768910394.2751312,1.6,20.4,1374907,2486369,2.954244613647461
kind-worker,1768910399.2788985,1.2,20.4,1376084,2487998,3.304004669189453
kind-worker2,1768910399.284053,1.2,20.4,1375454,2487368,2.610445022583008
kind-worker,1768910404.2892091,1.5,20.4,1376631,2488997,3.4220218658447266
kind-worker2,1768910404.2942896,1.6,20.4,1376001,2488367,2.8488636016845703
kind-worker2,1768910409.3064904,1.3,20.4,1376590,2489408,10.679244995117188
kind-worker,1768910409.3073802,1.3,20.4,1377178,2489996,11.548995971679688
kind-worker,1768910412.1751792,1.5,20.5,1377725,2490995,3.0384063720703125
kind-worker2,1768910412.1923873,1.5,20.5,1377179,2490449,21.88730239868164
kind-worker,1768910417.1841023,1.4,20.5,1378314,2492036,2.954244613647461
kind-worker2,1768910417.2002337,1.4,20.5,1377726,2491448,2.7959346771240234
kind-worker,1768910422.193659,1.4,20.5,1378861,2493035,3.285646438598633
kind-worker2,1768910422.20934,1.4,20.5,1378273,2492447,2.993345260620117
kind-worker,1768910427.198341,1.2,20.5,1379408,2494034,3.2262802124023438
kind-worker2,1768910427.219187,1.2,20.5,1378820,2493446,3.5338401794433594
kind-worker,1768910432.209815,1.5,20.5,1379955,2495033,3.7603378295898438
kind-worker2,1768910432.2466693,1.5,20.5,1379367,2494445,20.45154571533203
kind-worker,1768910437.2178993,1.2,20.5,1380502,2496032,2.8655529022216797
kind-worker2,1768910437.276276,1.2,20.5,1379956,2495486,20.748376846313477
kind-worker,1768910442.2293005,1.5,20.4,1381091,2497073,4.04667854309082
kind-worker2,1768910442.2851846,1.5,20.4,1380503,2496485,3.7086009979248047
kind-worker,1768910445.0890164,1.5,20.4,1381638,2498072,28.614521026611328
kind-worker2,1768910445.1177137,1.5,20.4,1381050,2497484,3.0791759490966797
kind-worker,1768910450.0996163,1.4,20.5,1382185,2499071,4.150629043579102
kind-worker2,1768910450.1283882,1.4,20.5,1381639,2498525,3.846406936645508
kind-worker,1768910455.1057947,1.1,20.5,1382732,2500070,4.3544769287109375
kind-worker2,1768910455.134788,1.1,20.5,1382186,2499524,3.876209259033203
kind-worker,1768910460.115962,1.7,20.5,1383321,2501111,3.3004283905029297
kind-worker2,1768910460.1403792,1.7,20.5,1382775,2500565,2.894163131713867
kind-worker,1768910465.1254184,1.3,20.5,1383868,2502110,3.726959228515625
kind-worker2,1768910465.1495757,1.3,20.5,1383322,2501564,3.0527114868164062
kind-worker,1768910470.1530359,1.4,20.5,1384415,2503109,20.93052864074707
kind-worker2,1768910470.1598792,1.4,20.5,1383869,2502563,2.742767333984375
kind-worker,1768910473.0410988,1.2,20.5,1384962,2504108,3.7758350372314453
kind-worker2,1768910473.047912,1.2,20.5,1384416,2503562,2.8772354125976562
kind-worker2,1768910478.056981,1.4,20.5,1384963,2504561,2.949237823486328
kind-worker,1768910478.0616689,1.4,20.5,1385509,2505107,18.072128295898438
kind-worker2,1768910483.0676908,1.4,20.5,1385510,2505560,3.924131393432617
kind-worker,1768910483.0711455,1.4,20.5,1386098,2506148,3.2567977905273438
kind-worker2,1768910488.0771859,1.4,20.5,1386099,2506601,2.9931068420410156
kind-worker,1768910488.0805469,1.4,20.5,1386645,2507147,2.8400421142578125
kind-worker2,1768910493.0865438,1.1,20.5,1386688,2507642,3.2100677490234375
kind-worker,1768910493.0882344,1.1,20.5,1387192,2508146,2.869129180908203
kind-worker,1768910498.0920286,1.4,20.5,1387739,2509145,2.714872360229492
kind-worker2,1768910498.095398,1.4,20.5,1387235,2508641,2.7625560760498047
kind-worker,1768910500.943004,1.4,20.4,1388328,2510186,11.318445205688477
kind-worker2,1768910500.9437535,1.4,20.4,1387782,2509640,12.277364730834961
kind-worker,1768910505.9527445,1.5,20.4,1388875,2511185,2.9518604278564453
